wk	weight	cum_weight
2019-12-30	1.448967793	565.1852557
2020-01-06	1.507511947	566.6927676
2020-01-13	1.65387233	568.3466399
2020-01-20	1.770960636	570.1176006
2020-01-27	1.65387233	571.7714729
2020-02-03	1.697780445	573.4692533
2020-02-10	1.727052521	575.1963059
2020-02-17	1.785596675	576.9819025
2020-02-24	1.888048943	578.8699515
2020-03-02	1.82950479	580.6994563
2020-03-09	1.580692138	582.2801484
2020-03-16	1.39042364	583.670572
2020-03-23	1.170883065	584.8414551
2020-03-30	0.907434376	585.7488895
2020-04-06	0.863526261	586.6124158
2020-04-13	1.053794759	587.6662105
2020-04-20	1.170883065	588.8370936
2020-04-27	1.375787602	590.2128812
2020-05-04	1.580692138	591.7935733
2020-05-11	1.946593096	593.7401664
2020-05-18	2.063681403	595.8038478
2020-05-25	2.371038207	598.174886
2020-06-01	2.561306706	600.7361927
2020-06-08	2.751575204	603.4877679
2020-06-15	2.766211242	606.2539792
2020-06-22	2.86866351	609.1226427
2020-06-29	2.927207663	612.0498503
2020-07-06	2.912571625	614.962422
2020-07-13	2.971115778	617.9335378
2020-07-20	3.029659932	620.9631977
2020-07-27	3.117476162	624.0806738
2020-08-03	3.176020315	627.2566942
2020-08-10	3.263836545	630.5205307
2020-08-17	3.30774466	633.8282754
2020-08-24	3.39556089	637.2238363
2020-08-31	3.527285234	640.7511215
2020-09-07	3.585829388	644.3369509
2020-09-14	3.629737503	647.9666884
2020-09-21	3.673645618	651.640334
2020-09-28	3.512649196	655.1529832
2020-10-05	3.454105043	658.6070882
2020-10-12	3.117476162	661.7245644
2020-10-19	3.04429597	664.7688604
2020-10-26	2.839391434	667.6082518
2020-11-02	2.766211242	670.374463
2020-11-09	2.502762552	672.8772256
2020-11-16	2.429582361	675.306808
2020-11-23	2.210041786	677.5168497
2020-11-30	1.858776866	679.3756266
2020-12-07	1.609964215	680.9855908
2020-12-14	1.434331755	682.4199226
2020-12-21	1.405059678	683.8249823
2020-12-28	1.331879487	685.1568617
2021-01-04	1.47823987	686.6351016
2021-01-11	1.492875908	688.1279775
2021-01-18	1.346515525	689.474493
2021-01-25	1.21479118	690.6892842
2021-02-01	1.053794759	691.743079
2021-02-08	1.009886644	692.7529656
2021-02-15	1.068430797	693.8213964
2021-02-22	1.434331755	695.2557282
2021-03-01	1.624600253	696.8803284
2021-03-08	1.91732102	698.7976495
2021-03-15	2.092953479	700.8906029
2021-03-22	2.371038207	703.2616411
2021-03-29	2.429582361	705.6912235
2021-04-05	2.69303105	708.3842545
2021-04-12	2.69303105	711.0772856
2021-04-19	2.802801338	713.8800869
2021-04-26	2.758893223	716.6389802
2021-05-03	1.902684981	718.5416651
2021-05-10	1.961229134	720.5028943
2021-05-17	2.078317441	722.5812117
2021-05-24	2.012455269	724.593667
2021-05-31	1.74168856	726.3353555
2021-06-07	1.529466004	727.8648216
2021-06-14	1.287971372	729.1527929
2021-06-21	0.995250606	730.1480435
2021-06-28	0.951342491	731.099386
2021-07-05	1.156247027	732.255633
2021-07-12	1.287971372	733.5436044
2021-07-19	1.514829966	735.0584344
2021-07-26	1.74168856	736.8001229
2021-08-02	2.144179613	738.9443026
2021-08-09	2.268585939	741.2128885
2021-08-16	2.60521482	743.8181033
2021-08-23	2.817437376	746.6355407
2021-08-30	3.029659932	749.6652006
2021-09-06	3.04429597	752.7094966
2021-09-13	3.154066257	755.8635629
2021-09-20	3.21992843	759.0834913
2021-09-27	3.205292391	762.2887837
2021-10-04	3.271154564	765.5599382
2021-10-11	3.329698717	768.889637
2021-10-18	3.432150985	772.3217879
2021-10-25	3.490695139	775.8124831
2021-11-01	3.593147407	779.4056305
2021-11-08	3.637055522	783.042686
2021-11-15	3.732189771	786.7748758
2021-11-22	3.878550154	790.6534259
2021-11-29	3.944412326	794.5978383
2021-12-06	3.995638461	798.5934767
2021-12-13	4.039546576	802.6330233
2021-12-20	3.863914116	806.4969374
2021-12-27	3.798051943	810.2949894
2022-01-03	3.432150985	813.7271403
2022-01-10	3.351652775	817.0787931
2022-01-17	3.124794181	820.2035873
2022-01-24	3.04429597	823.2478833
2022-01-31	2.751575204	825.9994585
2022-02-07	2.671076993	828.6705355
2022-02-14	2.429582361	831.1001178
2022-02-21	2.041727345	833.1418452
2022-02-28	1.770960636	834.9128058
2022-03-07	1.580692138	836.4934979
2022-03-14	1.544102042	838.0376
2022-03-21	1.463603832	839.5012038
2022-03-28	1.624600253	841.1258041
2022-04-04	1.639236292	842.7650404
2022-04-11	1.47823987	844.2432802
2022-04-18	1.339197506	845.5824777
2022-04-25	1.156247027	846.7387248
2022-05-02	1.112338912	847.8510637
2022-05-09	1.178201085	849.0292648
2022-05-16	1.580692138	850.6099569
2022-05-23	1.785596675	852.3955536
2022-05-30	2.107589518	854.5031431
2022-06-06	2.305176035	856.8083191
2022-06-13	2.60521482	859.4135339
2022-06-20	2.671076993	862.0846109
2022-06-27	2.963797759	865.0484087
2022-07-04	2.963797759	868.0122065
2022-07-11	3.080886066	871.0930925
2022-07-18	3.029659932	874.1227525
2022-07-25	2.092953479	876.2157059
2022-08-01	2.158815652	878.3745216
2022-08-08	2.283221977	880.6577436
2022-08-15	2.217359805	882.8751034
2022-08-22	1.910003	884.7851064
2022-08-29	1.683144406	886.4682508
2022-09-05	1.419695717	887.8879465
2022-09-12	1.097702874	888.9856494
2022-09-19	1.04647674	890.0321261
